ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
1,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
2,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Approve the request by Coral Gable Custom Homes to remove one City-owned tree (8 cm Honey Locust) from the City's road allowance at 310 Appleby Line to allow driveway access as part of a development application as outlined in roads, parks and forestry department report RPF-01-20; and
Instruct Coral Gable Custom Homes to provide compensation for the tree removal by providing cash in lieu of replacement totaling $800.  The approved appraisal method is aggregate caliper; and
Direct that all associated costs with respect to the removal of the tree will be the responsibility of Coral Gable Custom Homes, and the contractor hired to removed the tree will be approved by the Manager of Urban Forestry of designate.",Yes,CARRIED
3,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Deny the request to remove a public tree at 2123 Kevin Crescent as outlined in roads, parks and forestry department report RPF-03-20.",Yes,CARRIED
4,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Approve the request by the homeowner at 297 Kent Crescent to remove the small city tree to widen the property driveway as outlined in roads, parks, and forestry department report RPF-04-20; and 
Instruct the homeowner, Brian Krog, to provide compensation for the tree removal by providing cash in lieu of replacement totaling $1400.  The funds will provide for a new tree to be planted in front of the house and provide care and maintenance for the first two years; and
Direct that all associated costs with respect to the removal of the tree (including stump removal) will be the responsibility of the homeowner, and the contractor hired to remove the tree will require approval by the Manager of Urban Forestry or designate; and 
Restrict the width of the new driveway to an additional 2m to allow for an enlarged tree protection zone for the tree in front of 299 Kent Crescent. ",Yes,CARRIED
5,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Approve the Urban Private Tree Bylaw 02-2020, Appendix A to roads, parks and forestry department report RPF-05-20 and repeal existing Bylaw 43-2018 Pilot Private Tree Bylaw, effective January 27, 2020; and
Amend Rates and Fees By-law 52-2019 by replacing page 38 of Appendix A to reflect the amended fees; and
Approve Option 3 - apply the Private Tree By-law to the extent of the Urban Boundary currently and continue consultation with rural landowners, and
Approve Option 3 - cash in Lieu of replacement of $400.00 per replacement tree considered a 30 mm deciduous tree and 125 cm conifer. Number of trees to be calculated as one 30 mm caliper replacement tree for every 10 cm tree cut down.",Yes,CARRIED
6,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,Receive and file legal department report L-01-20 regarding a litigation update.,Yes,CARRIED
7,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Approve the application submitted by Bloomfield Developments to draft approve a residential plan of subdivision consisting of 4 lots, 3 blocks and a public road at 5219 Upper Middle Road, 2004 & 2005 Georgina Court and Blocks 262 & 263 of Plan 20M-824, as shown in Appendix A of community planning department report PL-05-20, subject to the conditions contained in Appendix B of that report.",Yes,CARRIED
8,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Amend procedure by-law update (CL-01-20) with the following:
Replace the entire paragraph in section 4.2 from the procedure by-law update with the following:
The rotation of the Deputy Mayor will be on a quarterly basis, determined by the mayor in consultation with council prior to the start of each calendar year, subject to the provisions of section 4.1 and availability; and
Add a clause into Section 39 that reads as follows:
At the discretion of the Mayor/Chair, City Manager or City Clerk, written delegation material may be requested in advance of the meeting prior to confirming registration as a delegation.  Upon review of that material by the Mayor/Chair, City Manager or City Clerk,  if it is deemed not applicable to the business of Council or Standing Committee, the delegation will not be registered to speak at the meeting",Yes,CARRIED
9,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,"Authorize travel of an official delegation to Apeldoorn, the Netherlands in May 2020 to celebrate the 15th anniversary of twinning between the City of Burlington and the City of Apeldoorn, comprised of the Mayor, Councillor liaison to the Mundialization Committee, City Manager or designate, a member of Clerks staff, Chair of the Mundialization Committee and the Chair of the Apeldoorn sub-committee to be funded from the Corporate Mundialization Initiatives account and the Mundialization Reserve Fund; and
Approve the purchase of a commemorative gift up to a value of $2,000 including shipping, as the official gift from Burlington to Apeldoorn on the occasion of the 15th twinning anniversary; and
Approve the purchase of a key to the city to present to the Mayor of Apeldoorn, funded from the Mundialization Committee's budget.",Yes,CARRIED
10,Regular Meeting of Council,1/27/2020,Marianne Meed Ward,Approve the proposed structure for twinning relationships contained in Appendix A of clerks department report CL-02-20.,Yes,CARRIED
