ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
1,Special Meeting of Council,1/14/2019,Marianne Meed Ward,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",Yes,CARRIED
2,Special Meeting of Council,1/14/2019,Kelvin Galbraith,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",Yes,CARRIED
3,Special Meeting of Council,1/14/2019,Lisa Kearns,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",Yes,CARRIED
4,Special Meeting of Council,1/14/2019,Rory Nisan,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",Yes,CARRIED
5,Special Meeting of Council,1/14/2019,Shawna Stolte,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",No,CARRIED
6,Special Meeting of Council,1/14/2019,Paul Sharman,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",Yes,CARRIED
7,Special Meeting of Council,1/14/2019,Angelo Bentivegna,"Direct the City Clerk to send confirmation of the City of Burlington's decision to not ""opt out"" of retail cannabis stores; and
Direct the City Clerk and City Manager's Office to create a citizen task force with a terms of reference that includes bylaw recommendations and the creation of guidelines for future retail cannabis stores and report back in Q2 with next steps for a task force.",No,CARRIED
8,Special Meeting of Council,2/7/2019,Marianne Meed Ward,"Direct the Director of City Building to immediately commence a process to re-examine the policies of the Official Plan adopted April 26, 2018 in their entirety related to matters of height and intensity and conformity with provincial density targets; and
Direct the Director of City Building to send a letter in respect of the Official Plan adopted by Council on April 26, 2018, (Adopted 2018 Official Plan) to the Region of Halton acknowledging receipt of the Region's Notice of Statement of Opinion of Non-Conformity with the Regional Official Plan dated December 4, 2018 and requesting sufficient time to address the conformity issues identified; and
Direct the Director of City Building that until such time as the modifications that result from the work being undertaken, but not limited to, in (1) and (2) above are brought forward and adopted by Council and sent to the Region for approval, that the Adopted 2018 Official Plan policies not be given weight in evaluating development applications that may be processed in the interim period; and
Direct the Director of City Building to report back to the Planning and Development Committee meeting in March to provide a progress update on the Official Plan work plan with key milestone dates, public engagement plan, budget and resource requirements; and
Direct the City Manager to discontinue the use of the ""Grow Bold"" brand.",Yes,CARRIED
9,Special Meeting of Council,2/7/2019,Marianne Meed Ward,"Amend the 2nd paragraph by adding the words (Adopted 2018 Official Plan) after April 26, 2018.. and before  to the Region of Halton
Amend the 3rd paragraph by capitalizing the word Adopted, expanding the acronym OP to Official Plan and adding 2018 before the words Official Plan.",Yes,CARRIED
10,Special Meeting of Council,2/7/2019,Kelvin Galbraith,"Direct the Director of City Building to immediately commence a process to re-examine the policies of the Official Plan adopted April 26, 2018 in their entirety related to matters of height and intensity and conformity with provincial density targets; and
Direct the Director of City Building to send a letter in respect of the Official Plan adopted by Council on April 26, 2018, (Adopted 2018 Official Plan) to the Region of Halton acknowledging receipt of the Region's Notice of Statement of Opinion of Non-Conformity with the Regional Official Plan dated December 4, 2018 and requesting sufficient time to address the conformity issues identified; and
Direct the Director of City Building that until such time as the modifications that result from the work being undertaken, but not limited to, in (1) and (2) above are brought forward and adopted by Council and sent to the Region for approval, that the Adopted 2018 Official Plan policies not be given weight in evaluating development applications that may be processed in the interim period; and
Direct the Director of City Building to report back to the Planning and Development Committee meeting in March to provide a progress update on the Official Plan work plan with key milestone dates, public engagement plan, budget and resource requirements; and
Direct the City Manager to discontinue the use of the ""Grow Bold"" brand.",Yes,CARRIED
